moneyness,T,sigma,price,vega,delta,gamma,recovered_iv,price_finite,price_nonneg,iv_ill_posed,iv_roundtrip_ok,all_pass
0.5,0.019178082191780823,1.0,386.3856204848621,0.00010684546042501568,0.9997505262325896,9.336093190261015e-09,0.9999884490966796,True,True,False,True,True
0.5,0.019178082191780823,3.0,390.7764107468826,7.320859297387526,0.9695409888172472,0.00021323078635042744,3.0000000009610788,True,True,False,True,True
0.5,0.0821917808219178,0.01,386.84597440754004,0.0,0.9989320774848635,0.0,0.2,True,True,True,True,True
0.5,0.0821917808219178,0.05,386.84597440754004,0.0,0.9989320774848635,0.0,0.2,True,True,True,True,True
0.5,0.0821917808219178,0.2,386.84597440754004,6.60372998023312e-31,0.9989320774848635,6.73201693634137e-35,0.2,True,True,True,True,True
0.5,0.0821917808219178,1.0,387.2344318358505,3.245017622268092,0.9938565242951988,6.616113516823058e-05,0.9999999972656368,True,True,False,True,True
0.5,0.0821917808219178,3.0,439.35780748022995,40.96376023561352,0.8913763687367033,0.0002783969347705345,2.999999999796949,True,True,False,True,True
0.5,1.0,0.01,393.26337111965927,0.0,0.9870841350202876,0.0,0.11805159449328853,True,True,True,True,True
0.5,1.0,0.05,393.26337111965927,4.4855083093567e-44,0.9870841350202876,1.5033355929456733e-48,0.11805159449328853,True,True,True,True,True
0.5,1.0,0.2,393.2670913254326,0.2943830434251289,0.9869880195668681,2.466590610352355e-06,0.2,True,True,False,True,True
0.5,1.0,1.0,460.92529097859926,143.62241113559307,0.8782483511315361,0.00024067805442966594,1.0000000000304454,True,True,False,True,True
0.5,1.0,3.0,692.9627643815261,66.7459540041886,0.9468317327629123,3.728361106451064e-05,3.0000000000879816,True,True,False,True,True
0.5,5.0,0.01,415.45234261765034,3.3047832673e-314,0.9370674633774034,1.10761e-318,0.06288264149801141,True,True,True,True,True
0.5,5.0,0.05,415.45234261765046,9.547648929907967e-11,0.9370674633773963,6.399863505029974e-16,0.06288265733365511,True,True,True,True,True
0.5,5.0,0.2,417.69797331324503,66.6313777878554,0.9215757330657305,0.00011165882986610585,0.2,True,True,False,True,True
0.5,5.0,1.0,604.3173968406628,209.7759114468911,0.874412769392032,7.030721436027385e-05,1.0000000000304454,True,True,False,True,True
0.5,5.0,3.0,723.5016574347334,1.5079310552653369,0.9368336554495896,1.6846299020037018e-07,2.999999998632819,True,True,False,True,True
0.8,0.0027397260273972603,0.01,154.54667129177244,0.0,0.9999643841959016,0.0,0.2,True,True,True,True,True
0.8,0.0027397260273972603,0.05,154.54667129177244,0.0,0.9999643841959016,0.0,0.2,True,True,True,True,True
0.8,0.0027397260273972603,0.2,154.54667129177244,2.619780717732982e-98,0.9999643841959016,8.012021182302975e-101,0.2,True,True,True,True,True
0.8,0.0027397260273972603,1.0,154.54674862110585,0.0016195054262709593,0.999955490905374,9.905799895623213e-07,0.9999979856491088,True,True,False,True,True
0.8,0.0027397260273972603,3.0,158.33082719080915,5.2357629573111515,0.9331754168636379,0.0010674950371621099,2.999999998632819,True,True,False,True,True
